category,triggers,samples,mean_impact,mean_prompt_shift,dir_pos,dir_neg
special_token,91,91,0.100599,-0.070364,24,67
punctuation,71,71,0.088679,-0.065623,10,61
sentence_boundary,67,67,0.087384,-0.073843,8,59
content_heavy,61,61,0.063908,-0.004038,24,37
other,23,23,0.074514,0.017076,13,10
contrast_marker,4,4,0.081995,-0.018604,1,3
clause_boundary,4,4,0.110373,0.072065,2,2
addition_marker,2,2,0.144517,-0.084170,1,1
cause_marker,2,2,0.041344,-0.004478,1,1
summary_marker,1,1,0.035889,0.036872,1,0
