category,triggers,samples,mean_impact,median_impact,mean_prompt_shift
sentence_boundary,2,2,0.1582578005816171,0.1582578005816171,-0.15796742996289242
punctuation,2,2,0.1582578005816171,0.1582578005816171,-0.15796742996289242
other,1,1,0.06594305830039526,0.06594305830039526,-0.06534084830459685
special_token,1,1,0.05988420758928571,0.05988420758928571,0.06006297050070031
content_heavy,2,2,0.0568634517609127,0.0568634517609127,-0.008795559897058658
contrast_marker,1,1,0.049017748786407765,0.049017748786407765,0.048752275485436924
