step,pos,ratio_mean,ratio_last4,ratio_last,conf
2,63,0.95703125,0.9609375,0.9453125,-inf
2,64,0.953125,0.96875,0.9453125,-inf
2,65,0.95703125,0.97265625,0.94921875,-inf
2,66,0.95703125,0.96875,0.94921875,-inf
2,67,0.953125,0.96875,0.94921875,-inf
2,68,0.9609375,0.96875,0.94921875,-inf
2,69,0.95703125,0.96875,0.94921875,-inf
2,70,0.96484375,0.96875,0.94921875,-inf
2,71,0.9609375,0.97265625,0.95703125,-inf
2,72,0.9609375,0.9765625,0.9609375,-inf
2,73,0.96875,0.9765625,0.9609375,-inf
2,74,0.96484375,0.9765625,0.9609375,-inf
2,75,0.96875,0.9765625,0.96484375,-inf
2,76,0.96875,0.98046875,0.96875,-inf
2,77,0.96484375,0.98046875,0.97265625,-inf
2,78,0.96484375,0.98046875,0.97265625,-inf
2,79,0.96484375,0.98046875,0.96875,-inf
2,80,0.96875,0.98046875,0.96875,-inf
2,81,0.96875,0.9765625,0.9609375,-inf
2,82,0.97265625,0.9765625,0.96484375,-inf
2,83,0.96484375,0.98046875,0.96875,-inf
2,84,0.96484375,0.98046875,0.96875,-inf
2,85,0.96875,0.9765625,0.96875,-inf
2,86,0.97265625,0.9765625,0.96484375,-inf
2,87,0.96875,0.97265625,0.96875,-inf
2,88,0.96875,0.97265625,0.96484375,-inf
2,89,0.97265625,0.97265625,0.96484375,-inf
2,90,0.96484375,0.9765625,0.9609375,-inf
2,91,0.96875,0.9765625,0.96484375,-inf
2,92,0.96484375,0.97265625,0.96484375,-inf
2,93,0.96484375,0.97265625,0.9609375,-inf
2,94,0.9609375,0.9765625,0.9609375,-inf
2,95,0.96875,0.9765625,0.96484375,-inf
2,96,0.97265625,0.9765625,0.96484375,-inf
2,97,0.97265625,0.9765625,0.96484375,-inf
2,98,0.97265625,0.9765625,0.96484375,-inf
2,99,0.96875,0.9765625,0.96875,-inf
2,100,0.97265625,0.98046875,0.97265625,-inf
2,101,0.97265625,0.984375,0.9765625,-inf
2,102,0.96875,0.984375,0.9765625,-inf
2,103,0.97265625,0.984375,0.98046875,-inf
2,104,0.9765625,0.984375,0.9765625,-inf
2,105,0.97265625,0.984375,0.98046875,-inf
2,106,0.97265625,0.984375,0.98046875,-inf
2,107,0.97265625,0.98046875,0.9765625,-inf
2,108,0.97265625,0.9765625,0.9765625,-inf
2,109,0.97265625,0.98046875,0.9765625,-inf
2,110,0.96875,0.96875,0.95703125,-inf
2,111,0.97265625,0.98046875,0.97265625,-inf
2,112,0.97265625,0.984375,0.9765625,-inf
2,113,0.9765625,0.9921875,0.9921875,-inf
2,114,0.9765625,0.9921875,0.984375,-inf
