category,triggers,samples,mean_impact,median_impact,mean_prompt_shift
punctuation,1,1,0.16573660714285715,0.16573660714285715,-0.1605050223214286
sentence_boundary,1,1,0.16573660714285715,0.16573660714285715,-0.1605050223214286
special_token,1,1,0.14192708333333334,0.14192708333333334,0.12453497023809523
