step,pos,ratio_mean,ratio_last4,ratio_last,conf
2,54,0.93359375,0.953125,0.9140625,-inf
2,55,0.94140625,0.94921875,0.91015625,-inf
2,56,0.95703125,0.9453125,0.91015625,-inf
2,57,0.94140625,0.953125,0.9140625,-inf
2,58,0.94140625,0.953125,0.91015625,-inf
2,59,0.9609375,0.9609375,0.91796875,-inf
2,60,0.953125,0.95703125,0.91796875,-inf
2,61,0.9453125,0.95703125,0.91796875,-inf
2,62,0.96484375,0.9609375,0.92578125,-inf
2,63,0.9453125,0.95703125,0.92578125,-inf
2,64,0.9609375,0.96875,0.9375,-inf
2,65,0.9609375,0.96875,0.94140625,-inf
2,66,0.953125,0.96875,0.9453125,-inf
2,67,0.96484375,0.96875,0.94140625,-inf
2,68,0.96484375,0.96875,0.94140625,-inf
2,69,0.953125,0.96875,0.9453125,-inf
2,70,0.9609375,0.97265625,0.94921875,-inf
2,71,0.97265625,0.97265625,0.94921875,-inf
2,72,0.9609375,0.9765625,0.94921875,-inf
2,73,0.9609375,0.96875,0.9453125,-inf
2,74,0.96875,0.96875,0.9453125,-inf
2,75,0.96484375,0.97265625,0.94921875,-inf
2,76,0.96875,0.9765625,0.953125,-inf
2,77,0.96484375,0.9765625,0.953125,-inf
2,78,0.96875,0.9765625,0.953125,-inf
2,79,0.9609375,0.97265625,0.94921875,-inf
2,80,0.96875,0.96875,0.9453125,-inf
2,81,0.96484375,0.97265625,0.94921875,-inf
2,82,0.9609375,0.97265625,0.94921875,-inf
2,83,0.97265625,0.9765625,0.95703125,-inf
2,84,0.97265625,0.9765625,0.9609375,-inf
2,85,0.9609375,0.97265625,0.953125,-inf
2,86,0.97265625,0.9765625,0.953125,-inf
2,87,0.96875,0.97265625,0.9453125,-inf
2,88,0.96875,0.9765625,0.9453125,-inf
2,89,0.96484375,0.96875,0.9375,-inf
2,90,0.97265625,0.9765625,0.94921875,-inf
2,91,0.9609375,0.9765625,0.94921875,-inf
2,92,0.97265625,0.9765625,0.953125,-inf
2,93,0.96484375,0.9765625,0.95703125,-inf
2,94,0.97265625,0.9765625,0.953125,-inf
2,95,0.96484375,0.9765625,0.95703125,-inf
2,96,0.96875,0.9765625,0.9609375,-inf
2,97,0.9765625,0.9765625,0.9609375,-inf
2,98,0.96875,0.9765625,0.95703125,-inf
2,99,0.96875,0.9765625,0.95703125,-inf
2,100,0.97265625,0.97265625,0.94921875,-inf
2,101,0.96875,0.98046875,0.97265625,-inf
2,102,0.9765625,0.98046875,0.9765625,-inf
2,103,0.97265625,0.9765625,0.98046875,-inf
2,104,0.97265625,0.9921875,0.9921875,-inf
2,105,0.9765625,0.99609375,0.9921875,-inf
3,44,0.83203125,0.703125,0.671875,0.27734375
3,46,0.87109375,0.83203125,0.80078125,0.62109375
3,47,0.87890625,0.859375,0.828125,0.107421875
3,48,0.8828125,0.87109375,0.859375,0.47265625
3,49,0.88671875,0.8828125,0.87109375,0.216796875
3,50,0.890625,0.89453125,0.87109375,-inf
3,51,0.90234375,0.91015625,0.87109375,-inf
3,52,0.91015625,0.9140625,0.88671875,-inf
3,53,0.92578125,0.9296875,0.8984375,-inf
3,54,0.9140625,0.9375,0.89453125,-inf
3,55,0.92578125,0.9375,0.8984375,-inf
3,56,0.93359375,0.9296875,0.89453125,-inf
3,57,0.921875,0.94140625,0.8984375,-inf
3,58,0.92578125,0.9375,0.89453125,-inf
3,59,0.94140625,0.9453125,0.90234375,-inf
3,60,0.93359375,0.9453125,0.90234375,-inf
3,61,0.9296875,0.94921875,0.90625,-inf
3,62,0.94921875,0.9453125,0.91015625,-inf
3,63,0.92578125,0.9453125,0.91015625,-inf
3,64,0.9453125,0.953125,0.91796875,-inf
3,65,0.94140625,0.95703125,0.92578125,-inf
3,66,0.9375,0.9609375,0.9296875,-inf
3,67,0.953125,0.95703125,0.9296875,-inf
3,68,0.94140625,0.9609375,0.9375,-inf
3,69,0.9375,0.9609375,0.9375,-inf
3,70,0.9453125,0.96484375,0.94140625,-inf
3,71,0.95703125,0.96484375,0.9375,-inf
3,72,0.94921875,0.96484375,0.94140625,-inf
3,73,0.9453125,0.9609375,0.9375,-inf
3,74,0.95703125,0.96484375,0.94140625,-inf
3,75,0.9453125,0.96484375,0.9375,-inf
3,76,0.95703125,0.96484375,0.9375,-inf
3,77,0.94921875,0.96875,0.9375,-inf
3,78,0.953125,0.96875,0.94140625,-inf
3,79,0.9453125,0.96484375,0.9375,-inf
3,80,0.95703125,0.9609375,0.93359375,-inf
3,81,0.94921875,0.95703125,0.93359375,-inf
3,82,0.9453125,0.96484375,0.94140625,-inf
3,83,0.95703125,0.96875,0.9453125,-inf
3,84,0.953125,0.96875,0.94921875,-inf
3,85,0.94921875,0.96875,0.9453125,-inf
