category,triggers,samples,mean_impact,mean_prompt_shift,dir_pos,dir_neg,dir_zero
special_token,90,90,0.101023,-0.071802,23,67,0
punctuation,71,71,0.088679,-0.065623,10,61,0
sentence_boundary,67,67,0.087384,-0.073843,8,59,0
content_heavy,59,59,0.064780,-0.004355,23,36,0
other,22,22,0.076468,0.016617,12,10,0
contrast_marker,4,4,0.081995,-0.018604,1,3,0
clause_boundary,4,4,0.110373,0.072065,2,2,0
addition_marker,2,2,0.144517,-0.084170,1,1,0
cause_marker,2,2,0.041344,-0.004478,1,1,0
summary_marker,1,1,0.035889,0.036872,1,0,0
