category,triggers,samples,mean_impact,mean_prompt_shift,dir_pos,dir_neg,dir_zero
special_token,75,75,0.109999,-0.082141,16,59,0
punctuation,68,68,0.090629,-0.063048,12,56,0
sentence_boundary,64,64,0.089395,-0.071493,10,54,0
content_heavy,57,57,0.065040,-0.006310,20,37,0
other,22,22,0.076468,0.016617,12,10,0
contrast_marker,4,4,0.081995,-0.018604,1,3,0
clause_boundary,4,4,0.110373,0.072065,2,2,0
addition_marker,2,2,0.144517,-0.084170,1,1,0
cause_marker,1,1,0.035889,0.036872,1,0,0
summary_marker,1,1,0.035889,0.036872,1,0,0
